"9781430226321","9781430226321","EAN_13","1453312440282","Jan 20, 2016 9:54:00 AM","Google Spring Persistence with Hibernate [Paul Tepper Fisher, Brian D. Murphy] [264pp.]"
"266510818300399500000040","266510818300399500000040","CODE_128","1453312431895","Jan 20, 2016 9:53:51 AM",""
"9780470635179","9780470635179","EAN_13","1453312421494","Jan 20, 2016 9:53:41 AM","Google Pentaho Kettle Solutions [Matt Casters, Roland Bouman, Jos van Dongen] [650pp.]"
"9780692319369","9780692319369","EAN_13","1453312400182","Jan 20, 2016 9:53:20 AM","Google Vilros Raspberry Pi USer's Guide [Vilros]"
"9780875095226","9780875095226","EAN_13","1453312391080","Jan 20, 2016 9:53:11 AM","Google The Pursuit of God [A. W. Tozer] [121pp.]"
"9781581342864","9781581342864","EAN_13","1453312377874","Jan 20, 2016 9:52:57 AM","Google Disciplines of a Godly Man [R. Kent Hughes] [300pp.]"
"9780802467997","9780802467997","EAN_13","1453312346704","Jan 20, 2016 9:52:26 AM","Google Spiritual Leadership [John Oswald Sanders] [189pp.]"
"9780449911471","9780449911471","EAN_13","1453312332341","Jan 20, 2016 9:52:12 AM","Google The Power of Positive Thinking [Norman Vincent Peale] [224pp.]"
"9781578568536","9781578568536","EAN_13","1453312316557","Jan 20, 2016 9:51:56 AM","Google Powerful Prayers for Your Family [David Kopp] [217pp.]"
"9780802475497","9780802475497","EAN_13","1453312135640","Jan 20, 2016 9:48:55 AM","Google No Man Left Behind [Patrick Morley, David Delk, Brett Clemmer] [215pp.]"
